title,company,tags,salary,location,date,description
Data Entry Analyst,"Xanitos, Inc.","data entry, analyst, sys admin, technical, customer support, exec, education, ops, excel, medical, part time",Not specified,"Atlanta, Atlanta, Georgia, United States",2026-05-27T09:25:10+00:00,"We are seeking a part-time Data Entry Analyst. Primary job responsibilities include reviewing architectural prints and accurately entering specified measurements and related data into standardized Excel templates and internal tracking tools. This includes maintaining consistent units of measure and formatting, completing quality checks to reduce errors, and escalating discrepancies for clarification. The initial scope of work is expected to be limited, with the potential to continue long term based on performance and ongoing business need. Primary data responsibilities revolve around maintaining data integrity and supporting process discipline to improve efficiency and reduce risk associated with inaccurate or incomplete information. This includes organizing files, tracking revisions, and ensuring documentation is complete and audit ready. Hourly Pay Rate $20.00 Responsibilities Reviews architectural prints and technical drawings to identify required data points (dimensions, room areas, quantities, notes, and callouts). Enters extracted data into Excel workbooks and standardized templates with accuracy and consistency. Ensures data is captured using the correct units of measure and required formatting standards. Performs routine validation and self-audits to confirm entries match source documents. Identifies discrepancies, missing information, or conflicting details and escalates for resolution. Maintains organized documentation and version control for spreadsheets and supporting files. Communicates status updates and completion tracking to the reporting manager as requested. Maintains confidentiality and follows company data handling and documentation requirements. Qualifications Employees in Healthcare are required to be fully vaccinated against COVID-19 as a term and condition of employment at Xanitos, absent a legally required Medical or Religious exception, and are required to report their vaccination status and upload proof of vaccination via a secure online portal. High School diploma required. College degree or equivalent work experience preferred. 1-3 years of experience in data entry or administrative support where accuracy is critical. Ability to read and interpret architectural prints with reasonable accuracy. Reasonable Excel skills, including sorting, filtering, formatting, and basic formulas. Strong attention to detail and ability to meet deadlines. Strong written and verbal communication skills, must be detail oriented and organized. Ability to multi-task and follow up on pending issues. Ability to work independently. Xanitos, Inc. Is a management company that provides hospital housekeeping, patient transport, central laundries services, and patient observation services. It is differentiated by its patented XRO System for cleaning patient rooms, its outstanding operations management team, and by being a private company whose priority is giving top quality service. The results are evident; at the hospitals it serves, Xanitos has improved the cleaning quality, increased HCAHPS scores, reduced the risk of HAIs, lowered bed turnaround time, and significantly reduced costs. Education Required High School Diploma, GED or equivalent or better Equal Opportunity Employer This employer is required to notify all applicants of their rights pursuant to federal employment laws. For further information, please review the Know Your Rights notice from the Department of Labor. Please mention the word **TOPNOTCH** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Supply Planning Analyst,GrowthAssistant,"virtual assistant, education, customer support, marketing, video, microsoft, exec, ops, excel, analyst, finance, data science, full time, design, consulting, technical, cloud, sales, medical, recruiter, digital nomad, sys admin, hr, coordinator, accounting, strategy, speech, ads, content writing, junior, dev, web dev, payroll",Not specified,"Philippines,",2026-05-27T09:20:50+00:00,Napost noong 4:55:10 AM. Who We AreGrowthAssistant connects top marketing and operations talent with fast-growing companies…Makita ito at kahalintulad na mga trabaho sa LinkedIn. Please mention the word **PLUSH** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.
Senior Vue Developer,Lemon.io,"senior, engineer, full time, full stack, dev, javascript, vue, php, laravel, typescript",Not specified,,2026-05-27T09:19:37+00:00,"Are you a talented Senior Developer looking for a remote job that lets you show your skills and get decent compensation? Look no further than Lemon.io — the marketplace that connects you with hand-picked startups in the US and Europe. What we offer: The rate depends on your seniority level, skills and experience. We've already paid out over $11M to our engineers. No more hunting for clients or negotiating rates — let us handle the business side of things so you can focus on what you do best. We'll manually find the best project for you according to your skills and preferences. Choose a schedule that works best for you. It's possible to communicate async or minimally overlap within team working hours. We respect your seniority so you can expect no micromanagement or screen trackers. Communicate directly with the clients. Most of them have technical backgrounds. Sounds good, yeah? We will support you from the time you submit the application throughout all cooperation stages. Most of our projects involve working in a fast-paced startup environment. We hope you like it as much as we do. Through our community, we will connect you with the best developers from more than 75 countries. We have different positions for Senior Vue Developers, including front-end and full-stack roles. Please check the requirements for each option in the topic below. We also have many other positions available—please check the job listings below. Requirements for Senior Vue.js Positions: 4+ years of software development experience Commercial experience with: Vue.js 4+ years & Nuxt.js 2+ years, & JavaScript 2+ years, experience with TypeScript is a must OR Vue.js 2+ years & Symfony 3+ years OR Vue.js 3+ years & PHP 3+ years, experience with Laravel is a must Other requirements: Strong technical skills: as a Senior Developer, you are expected to be able to create projects from scratch and have a deep understanding of application architecture. Clear and effective communication in English — advanced ability to discuss business tasks, justify decisions, and communicate issues. Good self-presentation is also essential for upcoming client calls. Strong self-organizational skills — ability to work full-time remotely with no supervision. Reliability — we want to trust you and expect that you won't let us and the client down. Adaptability and Flexibility — the ability to onboard the project promptly after accepting it and start delivering results quickly. Sounds good for you? Apply now and join the Lemon.io community! NOT YOUR TECH STACK? We have different projects for Senior Full-Stack Developers, so if you have 4+ years of commercial experience in software development and you are fluent with AI Agent Architect, AI Automation Architect, React & Python, React & Golang, React & Java, React & Ruby, Vue & Node.js, React & .NET, Android & iOS, Angular & Node.js, Vue & .NET, Python & Vue, DevOps with Azure DevOps, MLOps, Data Science, Angular & PHP, Angular &.NET, Symfony & React, Symfony & Angular, Symfony & JavaScript & Next.js & TypeScript, Data Analysis, React & PHP, Data Engineering, AI Engineering, Data Annotation, React & Node, Blockchain (Web3/Solana), Project Management, Svelte & Python, Svelte & Node, Svelte & TypeScript, Rust, Shopify & JavaScript, PHP & Laravel, .NET & C#, Unreal Engine & C++, Python & LLM, Unity, Machine Learning Engineering, we would be happy to communicate and provide you with a project that matches your experience. Just apply, and we will share more details with you. We do not provide visa assistance, and our cooperation model does not include the benefits typically offered with direct hire. P.S. We work with developers from 75+ countries across different regions: Europe, LATAM, the U.S. (if you have a completed W-9 form), Canada, Asia (Japan, Singapore, South Korea, the Philippines, Indonesia, Malaysia, Vietnam, Thailand, South Africa, and Israel), Oceania (Australia, New Zealand, and Papua New Guinea), Morocco, and the UK. However, there are some exceptions. At the moment, we don't have a legal basis to accept applicants from the following countries: European: Hungary, Iceland, Liechtenstein, Kosovo, Belarus, Russia, and Serbia. Latin America: Cuba and Nicaragua Most Asian countries and Africa. We expand and shorten the list of exemptions regularly. Please mention the word **TREMENDOUSLY** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Xactimate Virtual Assistant,Outsource Access Careers,"virtual assistant, education, customer support, marketing, video, microsoft, exec, ops, excel, analyst, finance, data science, full time",Not specified,"Philippines,",2026-05-27T09:10:02+00:00,"This is a remote position.What We DoAt Outsource Access, we help property restoration professionals…Makita ito at kahalintulad na mga trabaho sa LinkedIn. Please mention the word **FLATTER** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Administrative Assistant,Somewhere,"virtual assistant, education, customer support, marketing, video, microsoft, exec, ops, excel, analyst, finance, data science, full time",Not specified,"Sri Lanka,",2026-05-27T09:09:32+00:00,Role DescriptionThis is a full-time remote role for an Administrative Assistant at a growing… Please mention the word **PRODIGIOUSLY** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.
Financial Data Analyst,Crossing Hurdles,"virtual assistant, education, customer support, marketing, video, microsoft, exec, ops, excel, analyst, finance, data science",Not specified,,2026-05-27T09:07:24+00:00,Posted 5:04:46 PM. Position: Bilingual Finance AnnotatorType: Hourly contractCompensation: $25 - $30/hourLocation:…See this and similar jobs on LinkedIn. Please mention the word **TRUTHFUL** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.
Operador de Portaria Remota Recife PE,BuscarVagas - Empregos Brasil,"excel, non tech, finance, c",Not specified,"Recife, Recife, Pernambuco, Brasil",2026-05-27T07:39:22+00:00,"Sobre a Empresa Divulga Vagas Localização: Recife-PE Detalhes da Vaga Área de Atuação: Operações Atividades Principais Responsabilidades: Atendimento ao público, abertura e fechamento de portão automático, verificação de visitante, aviso de encomendas para os condôminos, solicitação de apoio externo caso seja necessário e demais atividades inerentes a função. Requisitos Requisitos e Qualificações: Desejável ter uma boa dicção, ter fácil acesso a Boa Viagem. Disponibilidade total de horário, Jornada de Trabalho: Jornada de trabalho: Segunda a Sexta Feira das 08:00 às 18:00 Salário: 1354,00 Salário Informações Adicionais: R$ 1.354,00 + VT + VA R$ 15,00 + Plano de saúde 50% Please mention the word **HANDILY** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Superviseur de départements,The Home Depot Canada,"infosec, dev, marketing, ops, sales, engineer, digital nomad",Not specified,"Gatineau,",2026-05-27T07:03:35+00:00,"Are you someone who thrives on helping others succeed, enjoys making an impact, and takes pride in guiding customers to the right solutions for their projects? If you're also naturally curious and eager to keep learning, consider starting or growing your career with us at The Home Depot. Please mention the word **GREAT** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
MEX Cajero Sucursal,Universia México,"excel, non tech, finance, c",Not specified,"Abasolo, Abasolo, Guanajuato, México",2026-05-27T06:44:20+00:00,"Country: Mexico ES EL MOMENTO Santander (*****************) está evolucionando de ser una marca global de alto impacto a una organización impulsada por la tecnología, y las personas están en el centro de este camino. Juntos, estamos liderando una transformación centrada en el cliente que valora el pensamiento disruptivo, la valentía de desafiar lo posible y la capacidad de innovar. Esto es más que un cambio estratégico: es una oportunidad para crecer, aprender y generar un impacto real. Nuestra misión es contribuir a que más personas y empresas prosperen. Adoptamos una sólida cultura de riesgos y esperamos que todos nuestros equipos asuman un enfoque proactivo y responsable en la gestión del riesgo. Retail & Commercial Banking es un negocio global que integra todas nuestras actividades de banca minorista y comercial para servir mejor a nuestros clientes, mejorar la eficiencia y generar valor. EL IMPACTO QUE GENERARÁS Banco Santander Mexico está buscando un/a [Cajero de Sucursal con base en [Suc. Las Puentes]. Si Tienes Una Fuerte Orientación Al Cliente, Actúas Con Integridad y Tienes Habilidad Para Realizar Cálculos Numéricos Con Precisión, ¡este Puesto Es Para Ti! Para Desempeñarte En Este Rol, Es Necesario Que Cuentes Con Las Siguientes Habilidades Atención al detalle Habilidad numérica Estamos redefiniendo nuestra forma de trabajar a través de la innovación, la tecnología de última generación, la colaboración y la libertad de explorar nuevas ideas. En Este Puesto, Tus Principales Responsabilidades Incluirán En este puesto, serás responsable de garantizar un servicio eficiente y seguro, creando una experiencia positiva para las y los clientes y fortaleciendo su confianza en el Banco. Además, trabajarás de cerca con personas expertas en la Banca, lo que te brindará una formación para ofrecer una experiencia satisfactoria para nuestros clientes. Te enfrentarás al reto de manejar diferentes tipos de transacciones y consultas en un entorno dinámico, lo que te permitirá desarrollar habilidades en ventas, resolución de problemas y comunicación asertiva. LO QUE APORTARÁS AL EQUIPO Nuestra gente es nuestra mayor fortaleza. Cada persona contribuye con perspectivas únicas que nos hacen más fuertes como equipo y como organización. Valoramos quiénes son y potenciamos lo que aportan. Los siguientes requisitos representan los conocimientos, habilidades y competencias esenciales para este puesto. Experiencia profesional Orientacion al cliente Atencion al detalle Habilidad Numerica Habilidades técnicas (Hard skills) Manejo de Efectivo Habilidades contables Habilidades interpersonales (Soft skills) Comunicación Inteligencia emocional VALORAMOS TU IMPACTO Tu Contribución Importa, y La Reconocemos. En Santander Puedes Esperar Un Paquete Retributivo Justo y Competitivo Que Refleje Tu Impacto y El Valor Que Entregarás. Toma Un Momento Para Entender a Lo Que Nos Referimos Ofrecemos más que un salario: nuestros beneficios están diseñados para apoyar tu vida, tus objetivos y tu bienestar, hoy y en el futuro Tu salud es nuestra prioridad. A través de BeHealthy, nuestro programa global de bienestar, promovemos el bienestar integral de nuestros equipos Please mention the word **PROFICIENTLY** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
MEX Cajero Dual,Universia México,"excel, non tech, finance",Not specified,"Tultitlan de Mariano Escobedo, Tultitlan de Mariano Escobedo, México, México",2026-05-27T06:43:16+00:00,"Country: Mexico Santander está evolucionando de ser una marca global de alto impacto a una organización impulsada por la tecnología, y las personas están en el centro de este camino. Juntos, estamos liderando una transformación centrada en el cliente que valora el pensamiento disruptivo, la valentía de desafiar lo posible y la capacidad de innovar. Esto es más que un cambio estratégico: es una oportunidad para crecer, aprender y generar un impacto real. Nuestra misión es contribuir a que más personas y empresas prosperen. Adoptamos una sólida cultura de riesgos y esperamos que todos nuestros equipos asuman un enfoque proactivo y responsable en la gestión del riesgo. Retail Commercial Banking es un negocio global que integra todas nuestras actividades de banca minorista y comercial para servir mejor a nuestros clientes, mejorar la eficiencia y generar valor. EL IMPACTO QUE GENERARÁS Retail Commercial Banking está buscando un/a Cajero Dual con base en Tlalnepantla. Estamos redefiniendo nuestra forma de trabajar a través de la innovación, la tecnología de última generación, la colaboración y la libertad de explorar nuevas ideas. En Este Puesto, Tus Principales Responsabilidades Incluirán Atender integralmente en su ventanilla los servicios de depósitos, pago de cheques, o cualquier otro servicio que se le solicite por los clientes de la sucursal, brindando un servicio de calidad y actuando con apego a la normatividad y directrices que el banco establece LO QUE APORTARÁS AL EQUIPO Nuestra gente es nuestra mayor fortaleza. Cada persona contribuye con perspectivas únicas que nos hacen más fuertes como equipo y como organización. Valoramos quiénes son y potenciamos lo que aportan. Los siguientes requisitos representan los conocimientos, habilidades y competencias esenciales para este puesto. Experiencia profesional Gusto por las ventas Atención al cliente Orientado a resultados Colocación de productos Educación Licenciatura concluida o trunca (Comprobable) CUMPLIMIENTO LOCAL Santander se enorgullece de ser una organización que ofrece igualdad de oportunidades sin importar edad, género, discapacidad, estado civil, raza, religión u orientación sexual. Estamos comprometidos en ofrecer un proceso de selección inclusivo y accesible para todas las personas. OFRECEMOS Sueldo base mensual bruto Comisiones Prestaciones de ley y superiores Plan de carrera y crecimiento a corto, mediano y largo plazo Capacitación y desarrollo profesional Horario: 8:00 am - 6:00 pm Trabaja solo 10 días al mes. ¿Y AHORA QUÉ? Si todo lo que acabas de leer encaja contigo, aplica y únete a nuestro equipo. ¿Listo/a para dar el siguiente paso? Please mention the word **WONDER** and tag ROjox when applying to show you read the job post completely (#ROjox). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
